1.000000000000000, 1.000000000000000, 1.000000000000000, 1.000000000000000, 3.302775637731995, 3.302775637731995, 3.302775637731995, 3.302775637731995
1.000000000000000, 1.000000000000000, 1.000000000000000, 1.000000000000000, -0.3027756377319946, -0.3027756377319946, -0.3027756377319946, -0.3027756377319946
1.000000000000000, 1.000000000000000, -1.000000000000000, -1.000000000000000, -1.618033988749895, -1.618033988749895, 1.618033988749895, 1.618033988749895
1.000000000000000, -1.000000000000000, -1.000000000000000 I, 1.000000000000000 I, 0.6180339887498948, -0.6180339887498948,      -16
0. 10    - 0.6180339887498948 I,      -16
0. 10    + 0.6180339887498948 I
1.000000000000000, -1.000000000000000, 1.000000000000000 I, -1.000000000000000 I, 0.6180339887498948, -0.6180339887498948,      -16
0. 10    + 0.6180339887498948 I,      -16
0. 10    - 0.6180339887498948 I
1.000000000000000, 1.000000000000000, -1.000000000000000, -1.000000000000000, 0.6180339887498948, 0.6180339887498948, -0.6180339887498948, -0.6180339887498948
1.000000000000000, -1.000000000000000, 1.000000000000000 I, -1.000000000000000 I, -1.618033988749895, 1.618033988749895,      -15
0. 10    - 1.618033988749895 I,      -15
0. 10    + 1.618033988749895 I
1.000000000000000, -1.000000000000000, -1.000000000000000 I, 1.000000000000000 I, -1.618033988749895, 1.618033988749895,      -15
0. 10    + 1.618033988749895 I,      -15
0. 10    - 1.618033988749895 I
